Company name,Company domain name,Channel,Address,Phone,Instagram,Facebook,Metro
Foster Sundry,fostersundry.com,Cheese shop / Boutique grocery,"215 Knickerbocker Ave, Brooklyn, NY 11237",(718) 569-8426,instagram.com/fostersundry,,NYC
Eastern District,easterndistrictny.com,Cheese shop / Boutique grocery,"1053 Manhattan Ave, Brooklyn, NY 11222",(718) 349-1432,instagram.com/eastrict,facebook.com/EasternDistrict,NYC
Barnyard Cheese Shop,barnyardcheese.com,Cheese shop / Boutique grocery,"170 Avenue B, New York, NY 10009",(212) 777-0691,instagram.com/barnyardcheese,,NYC
Formaggio Essex,,Cheese shop / Boutique grocery,"88 Essex St, New York, NY 10002",(212) 982-8200,,,NYC
BKLYN Larder,bklynlarder.com,Cheese shop / Boutique grocery,"228 Flatbush Ave, Brooklyn, NY 11217",(718) 783-1250,instagram.com/bklynlarder,facebook.com/bklynlarder,NYC
Floral Fromage,floralfromage.com,Cheese shop / Boutique grocery,"117 Grattan St Ste 117, Brooklyn, NY 11237",(646) 943-1070,,,NYC
Saxelby Cheesemongers,saxelbycheese.com,Cheese shop / Boutique grocery,"75 9th Ave, New York, NY 10011",(646) 892-3077,instagram.com/saxelbycheese,facebook.com/saxelbycheese,NYC
Ideal Cheese Shop,idealcheese.com,Cheese shop / Boutique grocery,"942 1st Ave, New York, NY 10022",(212) 688-7579,,,NYC
Monger's Palate,mongerspalate.com,Cheese shop / Boutique grocery,"192 Driggs Ave, Brooklyn, NY 11222",(718) 383-0612,instagram.com/mongerspalate,facebook.com/MongersPalate,NYC
Cheese Plate Brooklyn (Carroll Gardens),cheeseplatebrooklyn.com,Cheese shop / Boutique grocery,"323 Court St, Brooklyn, NY 11231",(347) 457-5355,,,NYC
Cheese Plate Brooklyn (Park Slope),cheeseplatebrooklyn.com,Cheese shop / Boutique grocery,"400 7th Ave, Brooklyn, NY 11215",,,,NYC
Stand Alone Cheese,standalonecheese.com,Cheese shop / Boutique grocery,"79-07 37th Ave, Jackson Heights, NY 11372",(929) 296-9000,instagram.com/standalonecheese,facebook.com/standalonecheese,NYC
Campbell and Co,campbellandco.nyc,Cheese shop / Boutique grocery,"502 Lorimer St, Brooklyn, NY 11211",(718) 387-2267,instagram.com/campbellandco.nyc,facebook.com/CampbellCheese,NYC
Lea Fromages,leafromages.square.site,Cheese shop / Boutique grocery,"231 Smith St, Brooklyn, NY 11231",(929) 745-1006,,,NYC
Murray's Cheese (Bleecker),murrayscheese.com,Cheese shop / Boutique grocery,"254 Bleecker St, New York, NY 10014",(212) 243-3289,,,NYC
Murray's Cheese (Grand Central),murrayscheese.com,Cheese shop / Boutique grocery,"89 E 42nd St, New York, NY 10017",(929) 717-0560,,,NYC
Rebel Cheese (Essex Market),rebelcheese-essexmarket.com,Cheese shop / Boutique grocery,"88 Essex St Stall 35, New York, NY 10002",(917) 716-6459,,,NYC
Cipollina Gourmet Italian Market,,Cheese shop / Boutique grocery,"116-09 Queens Blvd, Forest Hills, NY 11375",(718) 520-5444,,facebook.com/CipollinaForestHills,NYC
Di Palo's Fine Foods,dipaloselects.com,Cheese shop / Boutique grocery,"200 Grand St, New York, NY 10013",(212) 226-1033,,,NYC
Pace's Italian Market,,Cheese shop / Boutique grocery,"2314 Arthur Ave, Bronx, NY 10458",(347) 862-1860,,,NYC
Tavola Italian Market,tavolamarket.com,Cheese shop / Boutique grocery,"274 Court St, Brooklyn, NY 11231",(347) 916-0201,,,NYC
